"id";"sex";"affiliated";"time_secs"
2979;"m";TRUE;863.6
4178;"m";TRUE;871.5
2342;"m";TRUE;900.6
3218;"m";TRUE;910.5
2952;"m";TRUE;917.4
3460;"m";TRUE;919.6
3906;"m";TRUE;934.2
3711;"m";TRUE;944.9
4058;"m";TRUE;946.5
3523;"m";TRUE;948.2
3269;"m";TRUE;963.1
3894;"m";TRUE;971.7
4703;"m";FALSE;975.5
4452;"m";TRUE;981.9
2925;"m";TRUE;982.6
3223;"m";TRUE;986.7
3276;"m";TRUE;987
3325;"m";TRUE;995.5
3682;"m";TRUE;999.3
4306;"m";TRUE;1003.7
4453;"m";TRUE;1005.9
2028;"m";FALSE;1006.9
3767;"f";TRUE;1008.5
4365;"m";TRUE;1011.2
3302;"m";TRUE;1012.7
10291;"m";TRUE;1013.3
3217;"f";TRUE;1014.7
2661;"m";FALSE;1015.4
4454;"m";TRUE;1017.1
4459;"m";TRUE;1017.9
4514;"m";FALSE;1020.8
3805;"m";TRUE;1025.7
2594;"m";TRUE;1026.9
4426;"m";TRUE;1029
4548;"f";TRUE;1037.4
2683;"m";FALSE;1039.8
3421;"m";TRUE;1040.5
10525;"m";TRUE;1041.4
2419;"m";TRUE;1041.5
3403;"m";TRUE;1041.5
8169;"f";FALSE;1042.1
3340;"m";TRUE;1043.4
2504;"m";TRUE;1043.6
3922;"m";TRUE;1049
3545;"m";TRUE;1050.5
3304;"m";TRUE;1051.1
3280;"m";TRUE;1055.3
3778;"m";TRUE;1056.7
4690;"m";FALSE;1057
4518;"m";TRUE;1057.3
2257;"m";TRUE;1057.3
3289;"m";TRUE;1058.3
4456;"m";TRUE;1059.1
3027;"m";FALSE;1060.5
2708;"m";TRUE;1060.7
4540;"m";FALSE;1061.2
4218;"m";TRUE;1063.4
3525;"m";TRUE;1065.9
4462;"m";TRUE;1066.3
3387;"m";TRUE;1070.9
3264;"m";TRUE;1072.1
2088;"f";TRUE;1072.1
3142;"f";FALSE;1073.5
3083;"m";FALSE;1074.5
2473;"m";TRUE;1075.4
3493;"m";TRUE;1076.1
3136;"m";FALSE;1077.4
3517;"m";TRUE;1078.5
3040;"m";TRUE;1082.4
2375;"f";FALSE;1085
3520;"m";TRUE;1086.6
3194;"m";FALSE;1089.7
2959;"m";TRUE;1090.7
4044;"m";TRUE;1090.8
2862;"m";TRUE;1092.8
4432;"m";TRUE;1092.8
2089;"m";TRUE;1092.9
19216;"m";TRUE;1093.1
4324;"m";TRUE;1094
2223;"m";FALSE;1094.5
2091;"m";FALSE;1095.3
3720;"m";TRUE;1095.4
4507;"f";FALSE;1097.8
3193;"m";TRUE;1098
3343;"m";TRUE;1099.1
2502;"m";TRUE;1099.4
3228;"m";TRUE;1099.7
2905;"m";FALSE;1099.8
2831;"m";TRUE;1102.7
8658;"m";FALSE;1105.3
12431;"m";FALSE;1105.5
3612;"m";TRUE;1106.7
4706;"m";FALSE;1106.7
2691;"m";FALSE;1106.9
3015;"m";TRUE;1107.3
3435;"m";TRUE;1108.4
4233;"m";TRUE;1109.2
3908;"m";TRUE;1109.6
2759;"m";TRUE;1109.9
3611;"m";TRUE;1110.1
2619;"m";FALSE;1110.8
3972;"m";TRUE;1111.2
4023;"m";TRUE;1111.9
10298;"m";TRUE;1112.1
2066;"f";TRUE;1112.3
3719;"m";TRUE;1112.8
3636;"m";TRUE;1113.2
3791;"m";TRUE;1113.2
3620;"m";TRUE;1114
3892;"m";TRUE;1116.5
4042;"m";TRUE;1116.5
4683;"m";TRUE;1117.5
2039;"m";FALSE;1117.8
3840;"m";FALSE;1120.7
3300;"m";TRUE;1121.2
4532;"m";TRUE;1122.8
2812;"m";FALSE;1123
2721;"m";FALSE;1123.1
3192;"m";FALSE;1124.3
4440;"m";TRUE;1124.8
3171;"m";FALSE;1125
11018;"m";TRUE;1125
3452;"m";FALSE;1125.3
2866;"m";TRUE;1125.5
3375;"m";TRUE;1125.5
3219;"f";TRUE;1125.6
3974;"m";TRUE;1126.2
3930;"m";TRUE;1127.4
2684;"m";TRUE;1127.4
3571;"m";TRUE;1128.7
2840;"m";FALSE;1129.7
4163;"m";TRUE;1130.9
2996;"m";TRUE;1131.3
2246;"m";TRUE;1131.7
3973;"m";TRUE;1132.1
9560;"m";TRUE;1132.2
2956;"m";FALSE;1132.3
3881;"m";TRUE;1132.3
3311;"m";FALSE;1133.1
3183;"f";FALSE;1133.5
10134;"m";TRUE;1133.6
3177;"f";TRUE;1133.7
2195;"m";TRUE;1133.8
7564;"m";FALSE;1134
3360;"m";TRUE;1134
3773;"m";TRUE;1134.1
3070;"m";FALSE;1134.4
3904;"m";TRUE;1134.9
3951;"m";TRUE;1135.6
3370;"m";TRUE;1135.9
3235;"m";TRUE;1136.3
3681;"f";TRUE;1136.4
4065;"m";TRUE;1137.7
4394;"m";TRUE;1137.9
3231;"m";TRUE;1138.4
4309;"m";TRUE;1138.5
3911;"m";TRUE;1139
3516;"m";FALSE;1139.6
2551;"m";TRUE;1140
3825;"m";TRUE;1140.6
4046;"m";TRUE;1144.7
3575;"m";TRUE;1144.9
4515;"f";FALSE;1145
2610;"m";TRUE;1145.3
3619;"m";TRUE;1145.7
4537;"m";FALSE;1145.7
3445;"m";FALSE;1145.8
2135;"m";FALSE;1146.3
10323;"m";TRUE;1147.2
3508;"m";TRUE;1147.8
2238;"m";TRUE;1147.9
4360;"m";TRUE;1147.9
3363;"m";FALSE;1148.5
2004;"m";FALSE;1148.6
2515;"m";FALSE;1150.4
3458;"m";FALSE;1150.7
4104;"m";TRUE;1150.7
10055;"m";TRUE;1151.2
2804;"m";FALSE;1151.4
14397;"f";TRUE;1152.2
4088;"m";TRUE;1152.4
3470;"m";FALSE;1152.7
9353;"m";TRUE;1153
2348;"m";TRUE;1153.5
4289;"m";TRUE;1155.2
4431;"m";TRUE;1155.9
3556;"m";TRUE;1156.1
2760;"m";TRUE;1156.5
4107;"m";TRUE;1156.6
2479;"m";TRUE;1156.6
3474;"m";TRUE;1156.8
14814;"m";TRUE;1157.6
2699;"m";FALSE;1157.8
2332;"m";FALSE;1157.9
3505;"m";TRUE;1158.1
4155;"m";TRUE;1158.4
3886;"m";TRUE;1158.6
14729;"m";TRUE;1158.8
2378;"m";FALSE;1158.9
3846;"m";FALSE;1159.1
2878;"m";TRUE;1159.2
3176;"m";TRUE;1159.5
3451;"f";FALSE;1159.5
4380;"m";TRUE;1159.8
4359;"m";TRUE;1160.7
2746;"f";FALSE;1160.8
4192;"m";TRUE;1160.8
4543;"m";TRUE;1160.9
2853;"f";FALSE;1161.4
4057;"m";TRUE;1161.4
3427;"m";FALSE;1161.9
3379;"m";TRUE;1162.1
3008;"m";FALSE;1162.7
8772;"m";TRUE;1163.2
3710;"m";TRUE;1163.4
2157;"m";TRUE;1164
2249;"m";TRUE;1164
3446;"m";FALSE;1165
3227;"m";TRUE;1165.3
10278;"m";TRUE;1166
3970;"m";TRUE;1166.6
3068;"m";FALSE;1167.3
3837;"m";FALSE;1167.6
3166;"m";FALSE;1168
4498;"m";TRUE;1168.3
2506;"m";TRUE;1168.6
2471;"f";TRUE;1168.7
3506;"m";TRUE;1169
4495;"m";FALSE;1169.1
10532;"m";TRUE;1169.2
3393;"m";TRUE;1169.6
4199;"m";TRUE;1169.8
2771;"m";FALSE;1169.8
8553;"m";TRUE;1170.6
2043;"m";TRUE;1170.8
8933;"m";TRUE;1170.8
2345;"m";FALSE;1171.3
3726;NA;FALSE;1172.7
9557;"m";TRUE;1172.7
3101;"m";FALSE;1174.4
2739;"m";FALSE;1175.3
8738;"m";TRUE;1175.4
3170;"m";TRUE;1175.8
18759;"m";TRUE;1177.7
13379;"m";FALSE;1177.8
3916;"m";TRUE;1178.2
3913;"m";TRUE;1178.6
2338;"m";TRUE;1179.1
2100;"f";TRUE;1179.2
2835;"f";TRUE;1179.4
14543;"m";TRUE;1179.4
3678;"m";TRUE;1180
4504;"m";FALSE;1180.3
2077;"m";FALSE;1180.7
2901;"m";FALSE;1180.9
3332;"m";TRUE;1181.5
2995;"m";FALSE;1181.6
2418;"m";TRUE;1181.6
9554;"m";TRUE;1182
2688;"m";TRUE;1182.2
3390;"m";TRUE;1182.3
3247;"f";FALSE;1182.3
3896;"m";TRUE;1182.5
9528;"m";TRUE;1182.6
3365;"m";TRUE;1182.6
8590;"m";FALSE;1183.3
12741;"m";TRUE;1183.4
3484;"m";TRUE;1183.5
9362;"m";TRUE;1184.2
4263;"m";TRUE;1184.4
4154;"m";TRUE;1185.7
3270;"m";TRUE;1185.8
2617;"m";TRUE;1185.9
2147;"m";FALSE;1186.1
10780;"m";TRUE;1186.3
3845;"m";FALSE;1186.4
3053;"m";FALSE;1187.9
3759;"m";TRUE;1188
2565;"m";TRUE;1188
2954;"m";FALSE;1189.3
3482;"f";FALSE;1189.6
3900;"m";TRUE;1190
3240;"m";TRUE;1190.3
2963;"m";TRUE;1190.3
8422;"m";FALSE;1191.5
9166;"m";TRUE;1191.6
4240;"m";TRUE;1192.1
4252;"f";TRUE;1192.3
2258;"f";TRUE;1192.6
9447;"m";TRUE;1192.7
3838;"m";FALSE;1192.9
4522;"m";FALSE;1192.9
3413;"m";TRUE;1193.4
3353;"m";FALSE;1193.8
3257;"m";TRUE;1194.6
3348;"m";TRUE;1194.7
7550;"m";FALSE;1194.9
3055;"m";FALSE;1195.4
3058;"m";TRUE;1195.4
3931;"m";TRUE;1196.3
3119;"f";TRUE;1196.3
4117;"m";TRUE;1196.9
4460;"m";FALSE;1197.5
19559;"m";TRUE;1197.7
17638;"m";FALSE;1197.7
3491;"m";TRUE;1197.8
2148;"m";FALSE;1198.1
2922;"m";FALSE;1198.1
4545;"m";TRUE;1198.2
19262;"m";TRUE;1198.4
7796;"m";FALSE;1198.7
8675;"m";FALSE;1198.8
14843;"m";TRUE;1199.5
10774;"m";TRUE;1199.7
4264;"m";TRUE;1200.2
4544;"m";TRUE;1200.8
7283;"f";FALSE;1201
10475;"m";TRUE;1201.7
2585;"m";FALSE;1202.3
