"id";"sex";"affiliated";"time_secs"
3605;"m";0;893.6
2524;"m";0;894.4
5308;"m";1;914.6
3304;"m";1;915.4
5309;"m";1;926.3
4318;"m";1;929.7
2697;"m";1;943.7
5314;"m";1;945.9
3143;"m";0;949.1
3122;"m";0;951.5
3361;"m";1;966.4
5282;"m";0;972.6
5268;"m";1;975.1
1;"m";0;976.3
4556;"m";0;982.6
2073;"m";1;982.7
3912;"m";1;984.1
4008;"m";1;988.1
3819;"m";1;988.4
5380;"m";0;992.1
3153;"m";1;998.0
5369;"m";0;1000.6
5284;"m";0;1001.3
3342;"m";1;1003.7
3172;"m";1;1006.8
3198;"m";1;1007.0
5262;"m";0;1009.2
3366;"m";1;1010.5
2227;"m";1;1015.3
5297;"m";1;1019.9
3529;"m";1;1020.7
5278;"m";1;1024.3
2456;"m";0;1025.0
3197;"m";1;1025.1
4005;"m";1;1025.2
10358;"m";1;1026.3
3037;"m";1;1026.4
3438;"f";0;1028.2
3462;"m";1;1028.5
5267;"m";1;1029.3
9117;"m";1;1033.8
3787;"m";0;1036.9
5328;"m";0;1038.3
2043;"m";1;1038.5
3066;"m";1;1039.3
4099;"m";0;1040.2
3478;"m";1;1042.3
2392;"m";0;1042.5
3584;"f";1;1042.9
19294;"m";1;1044.7
3989;"m";1;1047.8
2391;"m";1;1050.3
15240;"m";1;1050.6
19;"f";1;1050.7
3437;"m";0;1052.4
3058;"m";1;1052.9
2498;"m";0;1054.6
3199;"m";0;1056.7
2938;"m";1;1056.8
3704;"m";1;1056.9
3754;"m";1;1057.8
3589;"m";1;1059.6
3839;"m";1;1061.3
4199;"m";1;1061.8
4911;"m";1;1063.0
5341;"m";1;1065.4
3297;"f";1;1066.3
4673;"m";1;1066.3
2846;"m";0;1066.3
14422;"f";0;1068.5
5261;"m";1;1069.6
4070;"m";1;1069.7
2656;"m";1;1070.3
5151;"m";1;1071.0
2277;"f";1;1071.4
3315;"m";1;1075.7
2775;"m";1;1080.1
4577;"m";1;1080.7
2183;"m";0;1081.1
2202;"f";1;1081.3
4910;"m";1;1082.7
2668;"m";0;1082.7
4428;"m";1;1083.3
3501;"m";1;1085.8
3545;"m";0;1086.7
3816;"m";1;1089.3
3285;"m";1;1091.8
3188;"m";1;1092.0
2807;"m";0;1092.4
4045;"m";1;1092.5
3200;"m";1;1094.5
2684;"m";1;1095.1
5349;"m";1;1098.3
2408;"m";0;1098.4
3043;"m";1;1099.2
3512;"m";1;1100.1
3115;"m";0;1101.6
2698;"m";1;1101.7
5343;"m";1;1102.3
2873;"m";1;1103.6
2537;"m";0;1103.6
3430;"m";0;1104.6
2973;"m";1;1105.7
3016;"f";1;1106.2
3134;"m";1;1106.8
3060;"m";1;1107.3
7221;"m";0;1107.3
2942;"m";1;1109.5
3008;"m";1;1110.4
3090;"m";1;1111.1
2343;"m";1;1111.3
3850;"m";1;1111.6
2473;"f";0;1111.7
10225;"m";1;1113.6
3399;"m";0;1113.6
4128;"m";1;1114.6
2717;"m";0;1115.1
13338;"f";1;1115.2
4010;"m";0;1115.3
3026;"m";1;1116.7
2862;"m";0;1116.8
5296;"m";1;1116.8
3609;"m";1;1117.1
3447;"f";0;1117.7
4578;"m";1;1118.3
3057;"m";1;1119.4
3469;"m";1;1119.5
2897;"m";1;1120.6
3084;"m";1;1120.8
4075;"m";1;1120.9
2841;"m";1;1121.1
3907;"m";1;1121.3
3554;"f";0;1122.0
3551;"m";0;1122.4
2311;"m";1;1122.8
4432;"m";1;1122.8
3081;"m";0;1124.1
3069;"m";0;1124.5
2214;"f";0;1124.6
2099;"m";1;1124.9
2794;"m";0;1124.9
4721;"m";1;1126.4
5128;"m";1;1126.7
3157;"m";1;1128.4
5283;"m";0;1128.4
3873;"m";1;1129.2
5332;"m";1;1129.6
3105;"m";0;1130.3
2712;"m";1;1130.4
5099;"m";1;1131.4
3289;"m";0;1131.8
3276;"m";1;1132.4
4907;"m";1;1132.6
2104;"f";1;1132.8
3905;"m";1;1133.5
2831;"m";0;1133.6
4718;"m";1;1134.5
5322;"m";1;1134.5
4602;"m";1;1137.0
3542;"m";0;1137.7
3690;"m";1;1138.0
4836;"m";1;1138.4
5270;"m";0;1139.6
3093;"m";1;1140.1
3364;"m";0;1140.1
3398;"m";1;1140.4
9847;"m";1;1140.7
2735;"m";0;1141.5
14803;"m";1;1142.0
4882;"m";0;1142.5
3588;"m";1;1143.3
4003;"m";1;1145.8
3515;"f";1;1146.4
3363;"f";0;1146.5
2048;"m";1;1146.5
3806;"m";1;1148.0
2798;"m";1;1148.3
3371;"m";1;1148.5
14363;"f";1;1148.7
10280;"m";1;1149.2
2635;"m";1;1149.9
8950;"m";0;1150.1
4087;"m";0;1150.3
4271;"m";1;1150.5
4878;"m";0;1151.7
2779;"m";1;1151.9
19787;"m";0;1152.2
9677;"m";1;1152.4
3195;"m";0;1153.7
2013;"m";1;1154.0
3522;"m";1;1154.2
2511;"m";1;1154.7
3051;"m";1;1155.9
3779;"m";0;1156.0
2768;"m";0;1156.1
3516;"m";0;1156.6
4554;"m";0;1156.7
3472;"m";0;1157.6
3100;"f";1;1157.7
2950;"m";1;1158.6
3404;"m";0;1159.8
3689;"m";1;1161.0
10214;"m";1;1161.4
3336;"m";1;1161.7
2229;"m";0;1161.8
2203;"m";1;1161.9
3764;"m";1;1162.0
5363;"m";0;1162.3
3691;"m";1;1163.0
3632;"m";1;1163.3
3402;"m";1;1163.4
4912;"m";1;1163.4
2123;"m";0;1163.7
8446;"m";1;1163.7
3004;"m";1;1163.7
4062;"m";1;1164.0
5272;"f";1;1164.2
2526;"m";0;1164.4
